ID,stream,position,trap,time,order,suborder,family,subfamily,genus,species,number,comment,label on Eppi (y/n),same as in table,
1118,Triefenbach,down,1,2018-08-09,Ephemeroptera,,Baetidae,,Baetis,rhodani,1,,,,
1119,Dierbach,up,2,2018-08-09,Sonstige,,,,,,3,"Collembola, Käfer",y,y,
1120,Dierbach,up,2,2018-08-09,Plecoptera,,Nemouridae,,Protonemura,,1,,,,
1121,Dierbach,up,2,2018-08-09,Hymenoptera,,,,,,1,,n,,
1122,Dierbach,up,2,2018-08-09,Diptera,Nematocera,Chironomidae,,,,3,,,,
1123,Kropsbach,up,1,2018-08-09,Coleoptera,,,,,,1,,y,y,
1124,Kropsbach,up,1,2018-08-09,Diptera,Nematocera,Chironomidae,,,,72,,,,
1125,Kropsbach,up,1,2018-08-09,Diptera,Nematocera,Chaoboridae,,,,5,,,,
1126,Kropsbach,up,1,2018-08-09,Hymenoptera,,,,,,1,,n,,
1127,Dierbach,down,1,2018-08-06,Sonstige,,,,,,2,Wanze Assel,y,y,
1128,Dierbach,down,1,2018-08-06,Hymenoptera,,,,,,4,,n,,
1129,Dierbach,down,1,2018-08-06,Trichoptera,,Hydropsychidae,,Hydropsyche,,1,,,,
1130,Kaiserbach,down,2,2018-08-06,Sonstige,,,,,,9,"Käfer, Assel, Collembole",y,y,
1131,Kaiserbach,down,2,2018-08-06,Diptera,Nematocera,Chironomidae,,,,1,,,,
1132,Kropsbach,down,2,2018-08-06,Diptera,Nematocera,Chironomidae,,,,350,,,,
1133,Kropsbach,down,2,2018-08-06,Trichoptera,,Hydropsychidae,,Hydropsyche,,1,,,,
1134,Kropsbach,down,2,2018-08-06,Trichoptera,,Hydropsychidae,,Hydropsyche,,1,,,,
1135,Kropsbach,down,2,2018-08-06,Diptera,Brachycera,,,,,1,,,,
1136,Kropsbach,down,2,2018-08-06,Trichoptera,,Hydroptilidae,,,,1,,,,
1137,Kropsbach,down,2,2018-08-06,Ephemeroptera,,Baetidae,,Baetis,,1,Flügel stark zerknautsch,,,
1138,Modenbach,down,1,2018-08-06,Arachnida,,Araneae,,,,1,,y,y,
1139,Modenbach,down,1,2018-08-06,Hymenoptera,,,,,,1,,n,,
1140,Modenbach,down,1,2018-08-06,Sonstige,,,,,,2,,n,,
1141,Modenbach,down,1,2018-08-06,Trichoptera,,Hydropsychidae,,Hydropsyche,,1,,mit Spinnenweben,,
1142,Modenbach,down,1,2018-08-06,Trichoptera,,Hydropsychidae,,Hydropsyche,,1,,mit Spinnenweben,,
1143,Kropsbach,down,1,2018-08-06,Diptera,Brachycera,,,,,1,,,,
1144,Kropsbach,down,1,2018-08-06,Diptera,Nematocera,Chironomidae,,,,46,,,,
1145,Kropsbach,down,1,2018-08-06,Ephemeroptera,,Baetidae,,Baetis,rhodani,1,,,,
1146,Kropsbach,down,1,2018-08-06,Trichoptera,,Hydropsychidae,,Hydropsyche,,4,,,,
1147,Kropsbach,down,1,2018-08-06,Trichoptera,,Hydropsychidae,,Hydropsyche,,2,,,,
1148,Otterbach,down,2,2018-08-06,Sonstige,,,,,,2,,y,y,
1149,Otterbach,down,2,2018-08-06,Arachnida,,Araneae,,,,1,,n,,
1150,Otterbach,down,2,2018-08-06,Diptera,Brachycera,,,,,2,,,,
1151,Otterbach,down,2,2018-08-06,Diptera,Nematocera,Chironomidae,,,,1,,,,
1152,Otterbach,down,2,2018-08-06,Hymenoptera,,,,,,3,,n,,
1153,Klingbach,up,2,2018-08-06,Diptera,Brachycera,Empididae,,,,1,,,,
1154,Klingbach,up,2,2018-08-06,Diptera,Nematocera,Chironomidae,,,,7,,,,
1155,Dierbach,up,1,2018-08-06,Hymenoptera,,,,,,1,,y,y,
1156,Dierbach,up,1,2018-08-06,Sonstige,,,,,,1,,n,,
1157,Dierbach,up,1,2018-08-06,Diptera,Nematocera,Chironomidae,,,,19,,,,
1158,Dierbach,up,1,2018-08-06,Diptera,Nematocera,Chironomidae,,,,1,beschädigt,,,
1159,Hainbach,up,2,2018-08-06,Sonstige,,,,,,6,Käfer,,,
1160,Hainbach,up,2,2018-08-06,Diptera,Brachycera,Empididae,,,,1,,,,
1161,Hainbach,up,2,2018-08-06,Diptera,Nematocera,Chironomidae,,,,7,,,,
1162,Kaiserbach,up,2,2018-08-06,Sonstige,,,,,,1,Assel,y,y,
1163,Kaiserbach,up,2,2018-08-06,Diptera,Nematocera,Chironomidae,,,,13,,,,
1164,Dierbach,down,2,2018-08-06,Sonstige,,,,,,3,"Käfer, Ameise",y,y,
1165,Dierbach,down,2,2018-08-06,Hymenoptera,,,,,,1,,n,,
1166,Dierbach,down,2,2018-08-06,Diptera,Nematocera,Chironomidae,,,,3,,,,
1167,Isenach,down,2,2018-08-06,Diptera,Nematocera,Chironomidae,,,,36,Mit weben ,y,y,
1168,Isenach,down,2,2018-08-06,Sonstige,,,,,,1,Assel,n,,
1169,Isenach,down,2,2018-08-06,Arachnida,,Araneae,,,,1,,n,,
1170,Isenach,down,2,2018-08-06,Hymenoptera,,,,,,1,,n,,
1171,Isenach,down,2,2018-08-06,Trichoptera,,Hydroptilidae,,,,1,,,,
1172,Isenach,down,2,2018-08-06,Trichoptera,,Leptoceridae,,Mystacides,nigra,3,,,,
1173,Otterbach,up,1,2018-08-06,Diptera,Nematocera,Chironomidae,,,,13,,,,
1174,Otterbach,up,1,2018-08-06,Diptera,Brachycera,,,,,1,,,,
1175,Klingbach,down,2,2018-08-06,Sonstige,,,,,,4,"Zikade, Assel, Thysanoptera",y,y,
1176,Klingbach,down,2,2018-08-06,Diptera,Nematocera,Chironomidae,,,,13,,,,
1177,Klingbach,down,2,2018-08-06,Hymenoptera,,,,,,1,,n,,
1178,Kaiserbach,up,1,2018-08-06,Sonstige,,,,,,6,"Käfer, Tausendfüßler, Collembole",y,y,
1179,Kaiserbach,up,1,2018-08-06,Diptera,Nematocera,Chironomidae,,,,6,,,,
1180,Kaiserbach,down,1,2018-08-06,Sonstige,,,,,,3,Assel Käfer,y,y,
1181,Kaiserbach,down,1,2018-08-06,Arachnida,,Araneae,,,,1,,n,,
1182,Kaiserbach,down,1,2018-08-06,Trichoptera,,Hydropsychidae,,Hydropsyche,,1,Kopf und Hintertibia fehlen,,,
1183,Triefenbach,down,1,2018-08-06,Ephemeroptera,,Baetidae,,Baetis,rhodani,1,,,,
1184,Triefenbach,down,1,2018-08-06,Diptera,Nematocera,Chironomidae,,,,7,,,,
1185,Triefenbach,down,1,2018-08-06,Diptera,Nematocera,Chaoboridae,,,,3,,,,
1186,Hainbach,up,1,2018-08-06,Sonstige,,,,,,2,käfer,y,y,
1187,Hainbach,up,1,2018-08-06,Diptera,Brachycera,,,,,1,,,,
1188,Hainbach,up,1,2018-08-06,Diptera,Nematocera,Chironomidae,,,,7,,,,
1189,Hainbach,up,1,2018-08-06,Hymenoptera,,,,,,1,,n,,
1190,Triefenbach,up,1,2018-08-06,Sonstige,,,,,,4,Käfer Assel,y,y,
1191,Triefenbach,up,1,2018-08-06,Diptera,Brachycera,Empididae,,,,2,,,,
1192,Triefenbach,up,1,2018-08-06,Diptera,Nematocera,Chironomidae,,,,1,,,,
1193,Isenach,down,1,2018-08-06,Trichoptera,,Leptoceridae,,Mystacides,nigra,4,,y,Isenachdown206/08/18,
1194,Isenach,down,1,2018-08-06,Diptera,Nematocera,Chironomidae,,,,184,,,,
1195,Isenach,down,1,2018-08-06,Diptera,Nematocera,Dixidae,,,,1,,,,
1196,Isenach,down,1,2018-08-06,Diptera,Nematocera,Cecidomyiidae,,,,1,,,,
1197,Isenach,down,1,2018-08-06,Diptera,Nematocera,Chironomidae,,,,5,Flügel z ukaputt um genau zuzuordne,,,
1198,Dierbach,up,2,2018-08-01,Diptera,Nematocera,Chironomidae,,,,9,,,,
1199,Dierbach,up,1,2018-08-01,Diptera,Brachycera,,,,,2,,,,
1200,Dierbach,up,1,2018-08-01,Hymenoptera,,,,,,2,,n,,
1201,Dierbach,up,1,2018-08-01,Sonstige,,,,,,8,Käfer Collembole,n,,
1202,Dierbach,up,1,2018-08-01,Diptera,Nematocera,Chironomidae,,,,7,2 Gefäße für gleiche Gruppe,,,
1203,Dierbach,up,1,2018-08-01,Diptera,Nematocera,Chironomidae,,,,3,2 Gefäße für gleiche Gruppe,,,
1204,Kaiserbach,up,1,2018-08-01,Sonstige,,,,,,1,Käfer,y,y,
1205,Hainbach,down,1,2018-08-01,Sonstige,,,,,,1,Käfer,y,y,
1206,Hainbach,down,1,2018-08-01,Hymenoptera,,,,,,1,,n,,
1207,Hainbach,down,1,2018-08-01,Diptera,Nematocera,Chironomidae,,,,5,,n,,
1208,Hainbach,down,1,2018-08-01,Hymenoptera,symphta,,,,,1,,n,,
1209,Hainbach,down,1,2018-08-06,Hymenoptera,,,,,,1,,y,y,
1210,Hainbach,down,1,2018-08-06,Diptera,Nematocera,Chironomidae,,,,9,,,,
1211,Dierbach,down,1,2018-08-01,Sonstige,,,,,,1,Collembola,y,y,
1212,Dierbach,down,1,2018-08-01,Diptera,Nematocera,Chaoboridae,,,,2,,,,
1213,Dierbach,down,1,2018-08-01,Diptera,Nematocera,Chironomidae,,,,4,,,,
1214,Modenbach,down,1,2018-08-01,Diptera,Nematocera,Simuliidae,,,,1,Kopf fehlt,,,
1215,Modenbach,down,1,2018-08-01,Diptera,Nematocera,Chaoboridae,,,,1,,,,
1216,Modenbach,down,1,2018-08-01,Diptera,Nematocera,Chironomidae,,,,2,,,,
1217,Modenbach,down,1,2018-08-01,Trichoptera,,Hydropsychidae,,Hydropsyche,,1,,,,
1218,Isenach,up,1,2018-08-06,Diptera,Nematocera,Simuliidae,,,,1,,y,y,
1219,Isenach,up,1,2018-08-06,Sonstige,,,,,,2,"käfer, große grüne bruchstücke1",n,,
1220,Isenach,up,1,2018-08-06,Diptera,Nematocera,Chironomidae,,,,1,,,,
1221,Modenbach,down,2,2018-08-06,Sonstige,,,,,,1,käfer,y,y,
1222,Modenbach,down,2,2018-08-06,Diptera,Nematocera,Chaoboridae,,,,1,,,,
1223,Modenbach,down,2,2018-08-06,Diptera,Nematocera,Chironomidae,,,,11,,,,
1224,Modenbach,down,2,2018-08-06,Hymenoptera,,,,,,1,,n,,
1225,Modenbach,down,2,2018-08-06,Trichoptera,,Hydropsychidae,,Hydropsyche,,1,"zerbrochen,, bruchstücke",,,
1226,Modenbach,down,2,2018-08-06,Ephemeroptera,,Baetidae,,Baetis,,1,"Kopf fehlt, flügel zerknautsch",,,
1227,Russbach,up,1,2018-08-06,Sonstige,,,,,,2,Collembole,y,y,
1228,Russbach,up,1,2018-08-06,Diptera,Nematocera,Chironomidae,,,,8,,,,
1229,Russbach,up,1,2018-08-06,Diptera,Nematocera,Limoniidae,,,,4,zerbrochen,,,
1230,Russbach,up,1,2018-08-06,Diptera,Nematocera,Ptychopteridae,,,,2,zerbrochen,,,
1231,Isenach,down,2,2018-07-31,Arachnida,,Araneae,,,,1,,y,y,
1232,Isenach,down,2,2018-07-31,Diptera,Nematocera,Chironomidae,,,,65,,,,
1233,Isenach,down,2,2018-07-31,Sonstige,,,,,,4,assel ameise käfer,n,,
1234,Isenach,down,2,2018-07-31,Trichoptera,,Hydroptilidae,,,,1,,,,
1235,Isenach,down,2,2018-07-31,Diptera,Brachycera,,,,,1,,,,
1236,Kropsbach,up,1,2018-08-06,Sonstige,,,,,,3,Käfer Larve,y,y,
1237,Kropsbach,up,1,2018-08-06,Trichoptera,,Sericostomatidae,,,,1,Erkennungsmerkmale abgebrochen ABER grüne stellen!,,,
1238,Kropsbach,up,1,2018-08-06,Diptera,Brachycera,Empididae,,,,1,,,,
1239,Kropsbach,up,1,2018-08-06,Diptera,Nematocera,Culicidae,,,,2,,,,
1240,Kropsbach,up,1,2018-08-06,Diptera,Nematocera,Chironomidae,,,,10,,,,
1241,Kropsbach,up,1,2018-08-06,Diptera,Nematocera,Simuliidae,,,,2,verstümmelt,,,
1242,Modenbach,up,1,2018-08-06,Sonstige,,,,,,1,Larve,y,y,
1243,Modenbach,up,1,2018-08-06,Ephemeroptera,,Baetidae,,BaEtis,rhodani,2,,,,
1244,Modenbach,up,1,2018-08-06,Diptera,Nematocera,Culicidae,,,,1,,,,
1245,Modenbach,up,1,2018-08-06,Diptera,Brachycera,,,,,1,,,,
1246,Modenbach,up,1,2018-08-06,Diptera,Nematocera,Chironomidae,,,,3,,,,
1247,Modenbach,up,1,2018-08-06,Trichoptera,,Hydropsychidae,,Hydropsyche,,3,,,,
1248,Modenbach,up,1,2018-08-06,Trichoptera,,Hydropsychidae,,Hydropsyche,,2,,,,
1249,Modenbach,up,1,2018-08-06,Trichoptera,,Hydropsychidae,,Hydropsyche,,1,Fühler fehlen,,,
1250,Kropsbach,up,2,2018-08-06,Sonstige,,,,,,1,Käfer,y,y,
1251,Kropsbach,up,2,2018-08-06,Diptera,Nematocera,Culicidae,,,,4,,ETHANOL,,
1252,Kropsbach,up,2,2018-08-06,Diptera,Nematocera,Chironomidae,,,,59,,ETHANOL,,
1253,Kropsbach,up,2,2018-08-06,Diptera,Nematocera,Psychodidae,,,,1,,ETHANOL,,
1254,Kropsbach,up,2,2018-08-06,Diptera,Brachycera,,,,,1,,ETHANOL,,
1255,Kropsbach,up,1,2018-08-01,Diptera,Nematocera,Simuliidae,,,,1,,,,
1256,Kropsbach,up,1,2018-08-01,Diptera,Nematocera,Chaoboridae,,,,1,,,,
1257,Kropsbach,up,1,2018-08-01,Diptera,Nematocera,Chironomidae,,,,31,,,,
1258,Kropsbach,up,1,2018-08-01,Hymenoptera,,,,,,1,,n,,
1259,Triefenbach,down,1,2018-08-01,Sonstige,,,,,,2,Käfer Assel,y,,
1260,Triefenbach,down,1,2018-08-01,Diptera,Nematocera,Simuliidae,,,,1,,,,
1261,Klingbach,up,1,2018-08-01,Diptera,Nematocera,Chironomidae,,,,8,,,,
1262,Klingbach,up,1,2018-08-01,Ephemeroptera,,Baetidae,,Baetis,rhodani,3,etwas zerknautscht,,,
1263,Kaiserbach,down,1,2018-08-01,Sonstige,,,,,,1,Assel,y,y,
1264,Kaiserbach,down,1,2018-08-01,Diptera,Nematocera,Chironomidae,,,,3,,,,
1265,Kaiserbach,up,2,2018-08-01,Diptera,Nematocera,Chironomidae,,,,38,,,,
1266,Modenbach,up,2,2018-08-06,Sonstige,,,,,,7,Assel + Schlonz,y,y,
1267,Modenbach,up,2,2018-08-06,Diptera,Brachycera,,,,,1,,,,
1268,Modenbach,up,2,2018-08-06,Trichoptera,,Goeridae,,,,1,"2,4,4; relatvi klien",,,
1269,Modenbach,up,2,2018-08-06,Trichoptera,,Hydropsychidae,,Hydropsyche,,7,,,,
1270,Modenbach,up,1,2018-08-01,Ephemeroptera,,Baetidae,,Baetis,,1,Beine fehlend,,,
1271,Modenbach,up,1,2018-08-01,Trichoptera,,Hydropsychidae,,Hydropsyche,,1,,,,
1272,Modenbach,up,1,2018-08-01,Diptera,Nematocera,Chironomidae,,,,12,,,,
1273,Modenbach,up,1,2018-08-01,Sonstige,,,,,,1,aquatische Larve,y,y,
1274,Modenbach,up,1,2018-08-01,Arachnida,,Araneae,,,,1,,n,,
1275,Modenbach,up,1,2018-08-01,Diptera,Nematocera,Chironomidae,,,,1,,2x gleich beschriftet,,
1276,Modenbach,up,1,2018-08-01,Trichoptera,,Hydropsychidae,,Hydropsyche,,1,,2x gleich beschriftet,,
1277,Triefenbach,up,2,2018-08-01,Hymenoptera,,,,,,1,,y,y,
1278,Triefenbach,up,2,2018-08-01,Diptera,Brachycera,,,,,1,,,,
1279,Triefenbach,up,2,2018-08-01,Diptera,Nematocera,Chironomidae,,,,1,,,,
1280,Klingbach,up,1,2018-08-06,Sonstige,,,,,,2,Assel Collembole,y,y,
1281,Klingbach,up,1,2018-08-06,Diptera,Nematocera,Chaoboridae,,,,1,,,,
1282,Klingbach,up,1,2018-08-06,Diptera,Nematocera,Chironomidae,,,,6,,,,
1283,Isenach,up,1,2018-07-31,Diptera,Nematocera,Chironomidae,,,,1,,,,
1284,Hainbach,up,1,2018-08-01,Diptera,Nematocera,Chironomidae,,,,17,,,,
1285,Hainbach,down,2,2018-08-01,Diptera,Nematocera,Chironomidae,,,,15,,y,Hain down 2 01/08/18,
1286,Otterbach,up,1,2018-08-01,Sonstige,,,,,,6,"Assel, Collembole, Larve",y,y,
1287,Otterbach,up,1,2018-08-01,Hymenoptera,,,,,,1,,n,,
1288,Otterbach,up,1,2018-08-01,Diptera,Brachycera,,,,,1,,,,
1289,Kaiserbach,down,2,2018-08-01,Sonstige,,,,,,2,Käfer,y,y,
1290,Kaiserbach,down,2,2018-08-01,Diptera,Nematocera,Chironomidae,,,,6,,,,
1291,Otterbach,down,1,2018-08-01,Sonstige,,,,,,4,Käfer und Schlonz,y,y,
1292,Otterbach,down,1,2018-08-01,Diptera,Nematocera,Chironomidae,,,,1,,,,
1293,Otterbach,up,2,2018-08-01,Diptera,Nematocera,Chironomidae,,,,20,,,,
1294,Otterbach,down,2,2018-08-01,Arachnida,,Araneae,,,,1,,y,y,
1295,Otterbach,down,2,2018-08-01,Hymenoptera,,,,,,1,,n,,
1296,Otterbach,down,2,2018-08-01,Diptera,Nematocera,Psychodidae,,,,1,,2x abgehakt,,
1297,Otterbach,down,2,2018-08-01,Sonstige,,,,,,1,Käfer,n,,
1298,Otterbach,down,2,2018-08-01,Diptera,Brachycera,,,,,1,,2x abgehakt,,
1299,Otterbach,down,2,2018-08-01,Diptera,Brachycera,Empididae,,,,1,,2x abgehakt,,
1300,Kropsbach,up,2,2018-08-01,Diptera,Nematocera,Chironomidae,,,,6,,,,
1301,Triefenbach,down,2,2018-08-01,Diptera,Brachycera,,,,,1,matsch,y,Triefenbachdown101/08/18,
1302,Russbach,down,2,2018-08-01,Sonstige,,,,,,3,"Käfer, Assel",y,y,
1303,Russbach,down,2,2018-08-01,Arachnida,,Araneae,,,,1,,n,,
1304,Russbach,down,2,2018-08-01,Diptera,Nematocera,Chironomidae,,,,8,,,,
1305,Triefenbach,up,1,2018-08-01,Sonstige,,,,,,1,Käfer,y,y,
1306,Triefenbach,up,1,2018-08-01,Diptera,Brachycera,,,,,1,,,,
1307,Triefenbach,up,1,2018-08-01,Diptera,Nematocera,Chironomidae,,,,2,,,,
1308,Russbach,up,1,2018-08-01,Sonstige,,,,,,3,Collembole,y,y,
1309,Russbach,up,1,2018-08-01,Diptera,Nematocera,Psychodidae,,,,2,,,,
1310,Russbach,up,1,2018-08-01,Hymenoptera,,,,,,1,,n,,
1311,Russbach,up,1,2018-08-01,Diptera,Brachycera,Empididae,,,,1,,,,
1312,Russbach,up,1,2018-08-01,Diptera,Nematocera,Chironomidae,,,,2,,,,
1313,Russbach,up,1,2018-08-01,Lepidoptera,,,,,,1,,,,
1314,Russbach,down,1,2018-08-01,Sonstige,,,,,,1,Käfer,y,y,
1315,Russbach,down,1,2018-08-01,Ephemeroptera,,Baetidae,,Baetis,rhodani,1,,,,
1316,Russbach,down,1,2018-08-01,Diptera,Nematocera,Chironomidae,,,,10,,,,
1317,Klingbach,up,2,2018-08-01,Diptera,Nematocera,Psychodidae,,,,1,,,,
1318,Klingbach,up,2,2018-08-01,Ephemeroptera,,Baetidae,,Baetis,rhodani,1,,,,
1319,Klingbach,up,2,2018-08-01,Diptera,Nematocera,Chironomidae,,,,4,,,,
1320,Klingbach,up,2,2018-08-01,Trichoptera,,Goeridae,,,,1,,,,
1321,Russbach,up,2,2018-08-01,Sonstige,,,,,,1,tausenfüßler,y,Russ up 2 01/08/18,
1322,Russbach,up,2,2018-08-01,Diptera,Nematocera,Ptychopteridae,,,,1,,,,
1323,Russbach,up,2,2018-08-01,Diptera,Nematocera,Chironomidae,,,,6,,,,
1324,Modenbach,down,2,2018-08-01,Sonstige,,,,,,4,,y,y,
1325,Modenbach,down,2,2018-08-01,Hymenoptera,,,,,,2,,n,,
1326,Modenbach,down,2,2018-08-01,Diptera,Nematocera,Chironomidae,,,,1,,,,
1327,Modenbach,down,2,2018-08-01,Trichoptera,,Hydropsychidae,,Hydropsyche,,3,,,,
1328,Otterbach,down,1,2018-08-06,Hymenoptera,,,,,,1,,y,y,
1329,Otterbach,down,1,2018-08-06,Diptera,Brachycera,,,,,2,,,,
1330,Otterbach,down,1,2018-08-06,Diptera,Nematocera,Chironomidae,,,,4,,,,
1331,Otterbach,down,1,2018-08-06,Sonstige,,,,,,5,"Käfer, Collembole",n,,
1332,Triefenbach,up,2,2018-08-06,Sonstige,,,,,,1,"käfer, Collembole",y,y,
1333,Triefenbach,up,2,2018-08-06,Trichoptera,,Hydropsychidae,,Hydropsyche,,3,,,,
1334,Triefenbach,up,2,2018-08-06,Diptera,Brachycera,,,,,2,,,,
1335,Triefenbach,up,2,2018-08-06,Diptera,Nematocera,Chironomidae,,,,16,,,,
1336,Triefenbach,up,2,2018-08-06,Diptera,Nematocera,Chaoboridae,,,,1,,,,
1337,Triefenbach,up,2,2018-08-06,Diptera,Nematocera,Simuliidae,,,,7,,,,
1338,Isenach,down,1,2018-07-31,Trichoptera,,Leptoceridae,,Mystacides,nigra,5,,,,
1339,Isenach,down,1,2018-07-31,Diptera,Nematocera,Chironomidae,,,,208,,,,
1340,Isenach,down,1,2018-07-31,Arachnida,,Araneae,,,,1,,n,,
1341,Isenach,down,1,2018-07-31,Diptera,Nematocera,Chaoboridae,,,,8,,,,
1342,Isenach,down,1,2018-07-31,Diptera,Nematocera,Simuliidae,,,,1,,,,
1343,Isenach,down,1,2018-07-31,Sonstige,,,,,,1,,n,,
1344,Isenach,down,1,2018-07-31,Ephemeroptera,,Baetidae,,Baetis,rhodani,1,,,,
1345,Kropsbach,up,1,2018-07-30,Sonstige,,,,,,1,Collembole,y,Krobs up 1 30/07/18,
1346,Kropsbach,up,1,2018-07-30,Diptera,Nematocera,Chironomidae,,,,7,,,,
1347,Kropsbach,up,1,2018-07-30,Diptera,Brachycera,,,,,1,,,,
1348,Kropsbach,down,2,2018-08-01,Diptera,Nematocera,Chaoboridae,,,,3,,,,
1349,Kropsbach,down,2,2018-08-01,Diptera,Nematocera,Chironomidae,,,,28,,,,
1350,Kropsbach,down,2,2018-08-01,Ephemeroptera,,Baetidae,,Baetis,rhodani,1,,,,
1351,Kropsbach,down,2,2018-08-01,Trichoptera,,Hydropsychidae,,Hydropsyche,,1,,,,
1352,Russbach,down,1,2018-08-13,Sonstige,,,,,,1,Assel,y,y,
1353,Russbach,down,1,2018-08-13,Diptera,Nematocera,Chaoboridae,,,,3,,,,
1354,Russbach,down,1,2018-08-13,Diptera,Nematocera,Chironomidae,,,,19,,,,
1355,Russbach,down,1,2018-08-13,Ephemeroptera,,Baetidae,,Baetis,,1,Flügel fehlen,,,
1356,Russbach,down,1,2018-08-13,Trichoptera,,Hydropsychidae,,Hydropsyche,,1,Maxillarpalpen fehlen,"2,4,4,",,
1357,Otterbach,down,2,2018-08-01,Sonstige,,,,,,1,Dipteren Stücke,y,y,
1358,Otterbach,down,2,2018-08-01,Diptera,Nematocera,Chironomidae,,,,1,,"2x abgehakt, ID ist SICHER 01/08/18 Otter down 2",,
1359,Otterbach,down,2,2018-08-01,Diptera,Brachycera,Empididae,,,,1,,"2x abgehakt, ID ist SICHER 01/08/18 Otter down 2",,
1360,Hainbach,up,2,2018-08-01,Arachnida,,Araneae,,,,1,,y,y,
1361,Hainbach,up,2,2018-08-01,Hymenoptera,,,,,,1,,,,
1362,Hainbach,up,2,2018-08-01,Diptera,Nematocera,Chironomidae,,,,2,,,,
1363,Klingbach,down,2,2018-08-01,Sonstige,,,,,,2,"Ameise, Zikade",y,y,
1364,Klingbach,down,2,2018-08-01,Diptera,Nematocera,Chironomidae,,,,11,,,,
1365,Klingbach,down,1,2018-08-06,Sonstige,,,,,,6,Käfer,y,y,
1366,Klingbach,down,1,2018-08-06,Arachnida,,Araneae,,,,10,,n,,
1367,Klingbach,down,1,2018-08-06,Diptera,Brachycera,,,,,1,,,,
1368,Klingbach,down,1,2018-08-06,Diptera,,,,,,1,Kopf fehlt,,,
1369,Klingbach,down,1,2018-08-06,Trichoptera,,Hydropsychidae,,Hydropsyche,,2,Beine und Teilweise Kopf fehlen,,,
1370,Klingbach,down,1,2018-08-06,Ephemeroptera,,Baetidae,,Baetis,rhodani,1,,,,
1371,Klingbach,down,1,2018-08-06,Diptera,Nematocera,Chironomidae,,,,10,,,,
1372,Isenach,up,2,2018-07-31,Sonstige,,,,,,1,,y,y,
1373,Klingbach,down,1,2018-08-01,Sonstige,,,,,,3,"Käfer, Assel",y,y,
1374,Klingbach,down,1,2018-08-01,Diptera,Nematocera,Chironomidae,,,,11,,,,
1375,Klingbach,down,1,2018-08-01,Trichoptera,,Hydropsychidae,,Hydropsyche,,2,,,,
1376,Triefenbach,up,1,2018-07-30,Sonstige,,,,,,1,Assel,y,,
1377,Triefenbach,up,1,2018-07-30,Diptera,Nematocera,Chironomidae,,,,4,,n,,
1378,Russbach,down,2,2018-08-13,Arachnida,,Araneae,,,,1,,y,y,
1379,Hainbach,up,1,2018-07-30,Sonstige,,,,,,1,,y,y,
1380,Hainbach,up,1,2018-07-30,Hymenoptera,,,,,,1,,n,,
1381,Hainbach,up,1,2018-07-30,Diptera,Nematocera,Chironomidae,,,,8,,,,
1382,Isenach,down,2.1,2018-08-02,Sonstige,,,,,,5,"Assel, Larve",y,y,
1383,Isenach,down,2.1,2018-08-02,Trichoptera,,Hydroptilidae,,,,1,,,,
1384,Isenach,down,2.1,2018-08-02,Diptera,Nematocera,Chironomidae,,,,18,,,,
1385,Isenach,down,2.1,2018-08-02,Arachnida,,Araneae,,,,1,Abdomen,n,,
1386,Isenach,down,2.1,2018-08-02,Diptera,Nematocera,Chaoboridae,,,,3,,,,
1387,Kaiserbach,down,1,2018-07-30,Sonstige,,,,,,2,Assel;käfer,y,y,
1388,Russbach,up,1,2018-08-13,Sonstige,,,,,,3,"Collembole, Collembole",y,y,
1389,Russbach,up,1,2018-08-13,Diptera,Brachycera,Empididae,,,,11,,,,
1390,Russbach,up,1,2018-08-13,Diptera,Brachycera,,,,,3,,,,
1391,Russbach,up,1,2018-08-13,Diptera,Nematocera,Chironomidae,,,,2,,,,
1392,Hainbach,up,2,2018-07-30,Sonstige,,,,,,5,"Käfer, Collembole",y,y,
1393,Hainbach,up,2,2018-07-30,Diptera,Nematocera,Chironomidae,,,,26,,,,
1394,Hainbach,up,2,2018-07-30,Diptera,Brachycera,Empididae,,,,1,,,,
1395,Dierbach,down,1,2018-07-30,Arachnida,,Araneae,,,,2,,y,y,
1396,Dierbach,down,1,2018-07-30,Hymenoptera,,,,,,2,,n,,
1397,Dierbach,down,1,2018-07-30,Sonstige,,,,,,4,"Ameise, Fliegetier, zikade",n,,
1398,Dierbach,down,1,2018-07-30,Diptera,Nematocera,Chironomidae,,,,9,,,,
1399,Dierbach,down,1,2018-07-30,Diptera,Brachycera,Empididae,,,,3,,,,
1400,Dierbach,down,1,2018-07-30,Diptera,Brachycera,,,,,1,,,,
1401,Kaiserbach,down,2,2018-07-30,Sonstige,,,,,,3,"Käfer, Ameise",y,y,
1402,Kaiserbach,down,2,2018-07-30,Diptera,Nematocera,Chironomidae,,,,15,,,,
1403,Dierbach,down,2,2018-08-13,Sonstige,,,,,,7,"Collembole, Käfer",y,y,
1404,Dierbach,down,2,2018-08-13,Arachnida,,Araneae,,,,2,,n,,
1405,Kaiserbach,up,2,2018-07-30,Diptera,Brachycera,Empididae,,,,2,,,,
1406,Kaiserbach,up,2,2018-07-30,Diptera,Nematocera,Chironomidae,,,,81,,,,
1407,Kaiserbach,up,2,2018-07-30,Diptera,Nematocera,Limoniidae,,,,1,,,,
1408,Russbach,up,1,2018-07-30,Sonstige,,,,,,27,"Collembole, Käfer, Larve",y,y,
