Site,Date,Variable,Direction,Qualifier,Value,Unit,Comment
Otterbach up,07/03/2018,width_3,,,135,cm,
Otterbach up,07/03/2018,depth_1,,,10,cm,
Otterbach up,07/03/2018,depth_2,,,17,cm,
Otterbach up,07/03/2018,depth_3,,,8,cm,
Otterbach up,07/03/2018,riffels in reach (50m),,,80,%,
Otterbach up,07/03/2018,pools in reach (50m),,,20,%,
Isenach up,07/11/2018,min_width,,,176,cm,
Isenach up,07/11/2018,max_width,,,250,cm,
Isenach up,07/11/2018,width_1,,,185,cm,
Isenach up,07/11/2018,width_2,,,190,cm,
Isenach up,07/11/2018,width_3,,,205,cm,
Isenach up,07/11/2018,depth_1,,,12,cm,
Isenach up,07/11/2018,depth_2,,,17,cm,
Isenach up,07/11/2018,depth_3,,,9,cm,
Isenach up,07/11/2018,riffels in reach (50m),,,90,%,
Isenach up,07/11/2018,pools in reach (50m),,,10,%,
Isenach down,07/11/2018,min_width,,,370,cm,
Isenach down,07/11/2018,max_width,,,410,cm,
Isenach down,07/11/2018,width_1,,,380,cm,
Isenach down,07/11/2018,width_2,,,380,cm,
Isenach down,07/11/2018,width_3,,,390,cm,
Isenach down,07/11/2018,depth_1,,,47,cm,
Isenach down,07/11/2018,depth_2,,,50,cm,
Isenach down,07/11/2018,depth_3,,,49,cm,
Isenach down,07/11/2018,riffels in reach (50m),,,0,%,
Isenach down,07/11/2018,pools in reach (50m),,,100,%,
Kropsbach down,07/11/2018,min_width,,,16,cm,really?
Kropsbach down,07/11/2018,max_width,,,160,cm,
Kropsbach down,07/11/2018,width_1,,,16,cm,
Kropsbach down,07/11/2018,width_2,,,109,cm,
Kropsbach down,07/11/2018,width_3,,,111,cm,
Kropsbach down,07/11/2018,depth_1,,,3,cm,
Kropsbach down,07/11/2018,depth_2,,,11,cm,
Kropsbach down,07/11/2018,depth_3,,,13,cm,
Kropsbach down,07/11/2018,riffels in reach (50m),,,90,%,
Kropsbach down,07/11/2018,pools in reach (50m),,,10,%,
Kropsbach up,07/11/2018,min_width,,,36,cm,
Kropsbach up,07/11/2018,max_width,,,120,cm,
Kropsbach up,07/11/2018,width_1,,,100,cm,
Kropsbach up,07/11/2018,width_2,,,90,cm,
Kropsbach up,07/11/2018,width_3,,,105,cm,
Kropsbach up,07/11/2018,depth_1,,,13,cm,
Kropsbach up,07/11/2018,depth_2,,,8,cm,
Kropsbach up,07/11/2018,depth_3,,,8,cm,
Kropsbach up,07/11/2018,riffels in reach (50m),,,60,%,
Kropsbach up,07/11/2018,pools in reach (50m),,,40,%,
Triefenbach up,07/11/2018,min_width,,,120,cm,
Triefenbach up,07/11/2018,max_width,,,250,cm,
Triefenbach up,07/11/2018,width_1,,,180,cm,
Triefenbach up,07/11/2018,width_2,,,180,cm,
Triefenbach up,07/11/2018,width_3,,,227,cm,
Triefenbach up,07/11/2018,depth_1,,,13,cm,
Triefenbach up,07/11/2018,depth_2,,,60,cm,
Triefenbach up,07/11/2018,depth_3,,,4,cm,
Triefenbach up,07/11/2018,riffels in reach (50m),,,90,%,
Triefenbach up,07/11/2018,pools in reach (50m),,,10,%,
Triefenbach down,07/11/2018,min_width,,,150,cm,
Triefenbach down,07/11/2018,max_width,,,180,cm,
Triefenbach down,07/11/2018,width_1,,,160,cm,
Triefenbach down,07/11/2018,width_2,,,160,cm,
Triefenbach down,07/11/2018,width_3,,,170,cm,
Triefenbach down,07/11/2018,depth_1,,,14,cm,
Triefenbach down,07/11/2018,depth_2,,,24,cm,
Triefenbach down,07/11/2018,depth_3,,,30,cm,
Triefenbach down,07/11/2018,riffels in reach (50m),,,60,%,
Triefenbach down,07/11/2018,pools in reach (50m),,,40,%,
Modenbach down,07/11/2018,min_width,,,240,cm,
Modenbach down,07/11/2018,max_width,,,140,cm,
Modenbach down,07/11/2018,width_1,,,223,cm,
Modenbach down,07/11/2018,width_2,,,233,cm,
Modenbach down,07/11/2018,width_3,,,230,cm,
Modenbach down,07/11/2018,depth_1,,,15,cm,
Modenbach down,07/11/2018,depth_2,,,20,cm,
Modenbach down,07/11/2018,depth_3,,,13,cm,
Modenbach down,07/11/2018,riffels in reach (50m),,,60,%,
Modenbach down,07/11/2018,pools in reach (50m),,,40,%,
Modenbach up,07/11/2018,min_width,,,76,cm,
Modenbach up,07/11/2018,max_width,,,200,cm,
Modenbach up,07/11/2018,width_1,,,182,cm,
Modenbach up,07/11/2018,width_2,,,116,cm,
Modenbach up,07/11/2018,width_3,,,140,cm,
Modenbach up,07/11/2018,depth_1,,,10,cm,
Modenbach up,07/11/2018,depth_2,,,11,cm,
Modenbach up,07/11/2018,depth_3,,,30,cm,
Modenbach up,07/11/2018,riffels in reach (50m),,,90,%,
Modenbach up,07/11/2018,pools in reach (50m),,,10,%,
Hainbach up,07/11/2018,min_width,,,60,cm,
Hainbach up,07/11/2018,max_width,,,120,cm,
Hainbach up,07/11/2018,width_1,,,90,cm,
Hainbach up,07/11/2018,width_2,,,95,cm,
Hainbach up,07/11/2018,width_3,,,100,cm,
Hainbach up,07/11/2018,depth_1,,,14,cm,
Hainbach up,07/11/2018,depth_2,,,6,cm,
Hainbach up,07/11/2018,depth_3,,,9,cm,
Hainbach up,07/11/2018,riffels in reach (50m),,,80,%,
Hainbach up,07/11/2018,pools in reach (50m),,,20,%,
Hainbach down,07/11/2018,min_width,,,80,cm,
Hainbach down,07/11/2018,max_width,,,100,cm,
Hainbach down,07/11/2018,width_1,,,90,cm,
Hainbach down,07/11/2018,width_2,,,90,cm,
Hainbach down,07/11/2018,width_3,,,100,cm,
Hainbach down,07/11/2018,depth_1,,,19,cm,
Hainbach down,07/11/2018,depth_2,,,13,cm,
Hainbach down,07/11/2018,depth_3,,,6,cm,
Hainbach down,07/11/2018,riffels in reach (50m),,,40,%,
Hainbach down,07/11/2018,pools in reach (50m),,,60,%,
Russbach up,07/10/2018,min_width,,,33,cm,
Russbach up,07/10/2018,max_width,,,132,cm,
Russbach up,07/10/2018,width_1,,,93,cm,
Russbach up,07/10/2018,width_2,,,76,cm,
Russbach up,07/10/2018,width_3,,,110,cm,
Russbach up,07/10/2018,depth_1,,,9,cm,
Russbach up,07/10/2018,depth_2,,,4,cm,
Russbach up,07/10/2018,depth_3,,,7,cm,
Russbach up,07/10/2018,riffels in reach (50m),,,50,%,
Russbach up,07/10/2018,pools in reach (50m),,,50,%,
Russbach down,07/10/2018,min_width,,,67,cm,
Russbach down,07/10/2018,max_width,,,141,cm,
Russbach down,07/10/2018,width_1,,,118,cm,
Russbach down,07/10/2018,width_2,,,121,cm,
Russbach down,07/10/2018,width_3,,,124,cm,
Russbach down,07/10/2018,depth_1,,,6,cm,
Russbach down,07/10/2018,depth_2,,,8,cm,
Russbach down,07/10/2018,depth_3,,,12,cm,
Russbach down,07/10/2018,riffels in reach (50m),,,60,%,
Russbach down,07/10/2018,pools in reach (50m),,,40,%,
Otterbach down,07/10/2018,min_width,,,90,cm,
Otterbach down,07/10/2018,max_width,,,181,cm,
Otterbach down,07/10/2018,width_1,,,156,cm,
Otterbach down,07/10/2018,width_2,,,132,cm,
Otterbach down,07/10/2018,width_3,,,125,cm,
Otterbach down,07/10/2018,depth_1,,,7,cm,
Otterbach down,07/10/2018,depth_2,,,12,cm,
Otterbach down,07/10/2018,depth_3,,,8,cm,
Otterbach down,07/10/2018,riffels in reach (50m),,,70,%,
Otterbach down,07/10/2018,pools in reach (50m),,,30,%,
Dierbach down,07/10/2018,min_width,,,46,cm,
Dierbach down,07/10/2018,max_width,,,100,cm,
Dierbach down,07/10/2018,width_1,,,73,cm,
Dierbach down,07/10/2018,width_2,,,65,cm,
Dierbach down,07/10/2018,width_3,,,88,cm,
Dierbach down,07/10/2018,depth_1,,,7,cm,
Dierbach down,07/10/2018,depth_2,,,6,cm,
Dierbach down,07/10/2018,depth_3,,,7,cm,
Dierbach down,07/10/2018,riffels in reach (50m),,,60,%,
Dierbach down,07/10/2018,pools in reach (50m),,,40,%,
Dierbach up,07/10/2018,min_width,,,35,cm,
Dierbach up,07/10/2018,max_width,,,141,cm,
Dierbach up,07/10/2018,width_1,,,82,cm,
Dierbach up,07/10/2018,width_2,,,69,cm,
Dierbach up,07/10/2018,width_3,,,85,cm,
Dierbach up,07/10/2018,depth_1,,,6,cm,
Dierbach up,07/10/2018,depth_2,,,11,cm,
Dierbach up,07/10/2018,depth_3,,,7,cm,
Dierbach up,07/10/2018,riffels in reach (50m),,,80,%,
Dierbach up,07/10/2018,pools in reach (50m),,,20,%,
Klingbach up,07/10/2018,min_width,,,NA,cm,
Klingbach up,07/10/2018,max_width,,,NA,cm,
Klingbach up,07/10/2018,width_1,,,NA,cm,
Klingbach up,07/10/2018,width_2,,,NA,cm,
Klingbach up,07/10/2018,width_3,,,NA,cm,
Klingbach up,07/10/2018,depth_1,,,NA,cm,
Klingbach up,07/10/2018,depth_2,,,NA,cm,
Klingbach up,07/10/2018,depth_3,,,NA,cm,
Klingbach up,07/10/2018,riffels in reach (50m),,,90,%,
Klingbach up,07/10/2018,pools in reach (50m),,,10,%,
Klingbach down,07/10/2018,min_width,,,200,cm,
Klingbach down,07/10/2018,max_width,,,284,cm,
Klingbach down,07/10/2018,width_1,,,231,cm,
Klingbach down,07/10/2018,width_2,,,269,cm,
Klingbach down,07/10/2018,width_3,,,210,cm,
Klingbach down,07/10/2018,depth_1,,,13.5,cm,
Klingbach down,07/10/2018,depth_2,,,13,cm,
Klingbach down,07/10/2018,depth_3,,,10,cm,
Klingbach down,07/10/2018,riffels in reach (50m),,,40,%,
Klingbach down,07/10/2018,pools in reach (50m),,,60,%,
Kaiserbach down,07/10/2018,min_width,,,52,cm,
Kaiserbach down,07/10/2018,max_width,,,198,cm,
Kaiserbach down,07/10/2018,width_1,,,144,cm,
Kaiserbach down,07/10/2018,width_2,,,149,cm,
Kaiserbach down,07/10/2018,width_3,,,186,cm,
Kaiserbach down,07/10/2018,depth_1,,,16,cm,
Kaiserbach down,07/10/2018,depth_2,,,23,cm,
Kaiserbach down,07/10/2018,depth_3,,,28,cm,
Kaiserbach down,07/10/2018,riffels in reach (50m),,,20,%,
Kaiserbach down,07/10/2018,pools in reach (50m),,,80,%,
Kaiserbach up,07/10/2018,min_width,,,61,cm,
Kaiserbach up,07/10/2018,max_width,,,105,cm,
Kaiserbach up,07/10/2018,width_1,,,83,cm,
Kaiserbach up,07/10/2018,width_2,,,90,cm,
Kaiserbach up,07/10/2018,width_3,,,97,cm,
Kaiserbach up,07/10/2018,depth_1,,,9,cm,
Kaiserbach up,07/10/2018,depth_2,,,14,cm,
Kaiserbach up,07/10/2018,depth_3,,,19,cm,
Kaiserbach up,07/10/2018,riffels in reach (50m),,,20,%,
Kaiserbach up,07/10/2018,pools in reach (50m),,,80,%,
Russbach up,26/03/2018,distance housing,L,,NA,m,
Russbach up,26/03/2018,distance housing,R,,NA,m,
Russbach up,26/03/2018,distance street,L,,15,m,
Russbach up,26/03/2018,distance street,R,,15,m,
Russbach up,26/03/2018,height landscape-level,L,,1.2,m,
Russbach up,26/03/2018,height landscape-level,R,,4,m,
Russbach up,26/03/2018,distance landscape-level,L,,2,m,
Russbach up,26/03/2018,distance landscape-level,R,,10,m,
Russbach up,26/03/2018,Distance field,L,,NA,m,
Russbach up,26/03/2018,Distance field,R,,NA,m,
Russbach up,26/03/2018,curvature,,,2,,
Russbach up,26/03/2018,Banks,,,several,,Uferbänke
Russbach up,26/03/2018,shore vegetation cover: Forest,L,,80,%,
Russbach up,26/03/2018,shore vegetation cover: Reed,L,,NA,%,
Russbach up,26/03/2018,shore vegetation cover: Shrubbery,L,,NA,%,
Russbach up,26/03/2018,shore vegetation cover: Tall Forbs,L,,NA,%,
Russbach up,26/03/2018,shore vegetation cover: Meadow,L,,NA,%,
Russbach up,26/03/2018,shore vegetation cover:  Vegetation Free,L,,20,%,
Russbach up,26/03/2018,shore vegetation cover:  Agriculture,L,,NA,%,
Russbach up,26/03/2018,shore vegetation height: Forest,L,,15,m,
Russbach up,26/03/2018,shore vegetation height: Reed,L,,NA,m,
Russbach up,26/03/2018,shore vegetation height: Shrubbery,L,,NA,m,
Russbach up,26/03/2018,shore vegetation height: Tall Forbs,L,,NA,m,
Russbach up,26/03/2018,shore vegetation height:  Meadow,L,,NA,m,
Russbach up,26/03/2018,shore vegetation height:  Agriculture,L,,NA,m,
Russbach up,26/03/2018,shore vegetation cover: Forest,R,,45,%,
Russbach up,26/03/2018,shore vegetation cover: Reed,R,,NA,%,
Russbach up,26/03/2018,shore vegetation cover: Shrubbery,R,,NA,%,
Russbach up,26/03/2018,shore vegetation cover: Tall Forbs,R,,NA,%,
Russbach up,26/03/2018,shore vegetation cover: Meadow,R,,NA,%,
Russbach up,26/03/2018,shore vegetation cover:  Vegetation Free,R,,55,%,
Russbach up,26/03/2018,shore vegetation cover:  Agriculture,R,,NA,%,
Russbach up,26/03/2018,shore vegetation height: Forest,R,,15,m,
Russbach up,26/03/2018,shore vegetation height: Reed,R,,NA,m,
Russbach up,26/03/2018,shore vegetation height: Shrubbery,R,,NA,m,
Russbach up,26/03/2018,shore vegetation height: Tall Forbs,R,,NA,m,
Russbach up,26/03/2018,shore vegetation height:  Meadow,R,,NA,m,
Russbach up,26/03/2018,shore vegetation height:  Agriculture,R,,NA,m,
Russbach up,26/03/2018,land use: Forest,L,,100,%,
Russbach up,26/03/2018,land use: Fallow,L,,NA,%,
Russbach up,26/03/2018,land use: Meadows & Pastures,L,,NA,%,
Russbach up,26/03/2018,land use: Agriculture,L,,NA,%,
Russbach up,26/03/2018,land use: Housing,L,,NA,%,
Russbach up,26/03/2018,land use: Other,L,,NA,%,
Russbach up,26/03/2018,land use: Forest,R,,100,%,
Russbach up,26/03/2018,land use: Fallow,R,,NA,%,
Russbach up,26/03/2018,land use: Meadows & Pastures,R,,NA,%,
Russbach up,26/03/2018,land use: Agriculture,R,,NA,%,
Russbach up,26/03/2018,land use: Housing,R,,NA,%,
Russbach up,26/03/2018,land use: Other,R,,NA,%,
Russbach up,26/03/2018,Shading Elements (southwards),,,100,%,
Russbach up,26/03/2018,Flooding of shore,,,yes,,
Russbach up,26/03/2018,Islands/Banks,,,several,,banks
Russbach down,26/03/2018,distance housing,L,,1000,m,
Russbach down,26/03/2018,distance housing,R,,NA,m,
Russbach down,26/03/2018,distance street,L,,400,m,
Russbach down,26/03/2018,distance street,R,,NA,m,
Russbach down,26/03/2018,height landscape-level,L,,1.2,m,
Russbach down,26/03/2018,height landscape-level,R,,1.6,m,
Russbach down,26/03/2018,distance landscape-level,L,,1.1,m,
Russbach down,26/03/2018,distance landscape-level,R,,2.2,m,
Russbach down,26/03/2018,Distance field,L,,3,m,
Russbach down,26/03/2018,Distance field,R,,5,m,
Russbach down,26/03/2018,curvature,,,4,,
Russbach down,26/03/2018,Banks,,,rudiments,,Uferbänke
Russbach down,26/03/2018,shore vegetation cover: Forest,L,,NA,%,
Russbach down,26/03/2018,shore vegetation cover: Reed,L,,NA,%,
Russbach down,26/03/2018,shore vegetation cover: Shrubbery,L,,NA,%,
Russbach down,26/03/2018,shore vegetation cover: Tall Forbs,L,,NA,%,
Russbach down,26/03/2018,shore vegetation cover: Meadow,L,,25,%,
Russbach down,26/03/2018,shore vegetation cover:  Vegetation Free,L,,35,%,
Russbach down,26/03/2018,shore vegetation cover:  Agriculture,L,,40,%,not plowed yet
Russbach down,26/03/2018,shore vegetation height: Forest,L,,NA,m,
Russbach down,26/03/2018,shore vegetation height: Reed,L,,NA,m,
Russbach down,26/03/2018,shore vegetation height: Shrubbery,L,,NA,m,
Russbach down,26/03/2018,shore vegetation height: Tall Forbs,L,,NA,m,
Russbach down,26/03/2018,shore vegetation height:  Meadow,L,,0.1,m,
Russbach down,26/03/2018,shore vegetation height:  Agriculture,L,,0,m,
Russbach down,26/03/2018,shore vegetation cover: Forest,R,,NA,%,
Russbach down,26/03/2018,shore vegetation cover: Reed,R,,NA,%,
Russbach down,26/03/2018,shore vegetation cover: Shrubbery,R,,60,%,
Russbach down,26/03/2018,shore vegetation cover: Tall Forbs,R,,NA,%,
Russbach down,26/03/2018,shore vegetation cover: Meadow,R,,NA,%,
Russbach down,26/03/2018,shore vegetation cover:  Vegetation Free,R,,NA,%,
Russbach down,26/03/2018,shore vegetation cover:  Agriculture,R,,40,%,not plowed yet
Russbach down,26/03/2018,shore vegetation height: Forest,R,,NA,m,
Russbach down,26/03/2018,shore vegetation height: Reed,R,,NA,m,
Russbach down,26/03/2018,shore vegetation height: Shrubbery,R,,5,m,
Russbach down,26/03/2018,shore vegetation height: Tall Forbs,R,,NA,m,
Russbach down,26/03/2018,shore vegetation height:  Meadow,R,,NA,m,
Russbach down,26/03/2018,shore vegetation height:  Agriculture,R,,0,m,
Russbach down,26/03/2018,land use: Forest,L,,NA,%,
Russbach down,26/03/2018,land use: Fallow,L,,5,%,
Russbach down,26/03/2018,land use: Meadows & Pastures,L,,NA,%,
Russbach down,26/03/2018,land use: Agriculture,L,,95,%,not plowed yet
Russbach down,26/03/2018,land use: Housing,L,,NA,%,
Russbach down,26/03/2018,land use: Other,L,,NA,%,
Russbach down,26/03/2018,land use: Forest,R,,NA,%,
Russbach down,26/03/2018,land use: Fallow,R,,NA,%,
Russbach down,26/03/2018,land use: Meadows & Pastures,R,,5,%,
Russbach down,26/03/2018,land use: Agriculture,R,,95,%,not plowed yet
Russbach down,26/03/2018,land use: Housing,R,,NA,%,
Russbach down,26/03/2018,land use: Other,R,,NA,%,
Russbach down,26/03/2018,Shading Elements (southwards),,,70,%,
Russbach down,26/03/2018,Flooding of shore,,,no,,
Russbach down,26/03/2018,Islands/Banks,,,no,,
Otterbach up,26/03/2018,distance housing,L,,NA,m,
Otterbach up,26/03/2018,distance housing,R,,NA,m,
Otterbach up,26/03/2018,distance street,L,,25,m,
Otterbach up,26/03/2018,distance street,R,,NA,m,
Otterbach up,26/03/2018,height landscape-level,L,,0.7,m,
Otterbach up,26/03/2018,height landscape-level,R,,2,m,
Otterbach up,26/03/2018,distance landscape-level,L,,3,m,
Otterbach up,26/03/2018,distance landscape-level,R,,4,m,
Otterbach up,26/03/2018,Distance field,L,,NA,m,
Otterbach up,26/03/2018,Distance field,R,,NA,m,
Otterbach up,26/03/2018,curvature,,,2,,
Otterbach up,26/03/2018,Banks,,,several,,Uferbänke
Otterbach up,26/03/2018,shore vegetation cover: Forest,L,,20,%,
Otterbach up,26/03/2018,shore vegetation cover: Reed,L,,NA,%,
Otterbach up,26/03/2018,shore vegetation cover: Shrubbery,L,,80,%,
Otterbach up,26/03/2018,shore vegetation cover: Tall Forbs,L,,NA,%,
Otterbach up,26/03/2018,shore vegetation cover: Meadow,L,,NA,%,
Otterbach up,26/03/2018,shore vegetation cover:  Vegetation Free,L,,NA,%,
Otterbach up,26/03/2018,shore vegetation cover:  Agriculture,L,,NA,%,
Otterbach up,26/03/2018,shore vegetation height: Forest,L,,15,m,
Otterbach up,26/03/2018,shore vegetation height: Reed,L,,NA,m,
Otterbach up,26/03/2018,shore vegetation height: Shrubbery,L,,0.5,m,
Otterbach up,26/03/2018,shore vegetation height: Tall Forbs,L,,NA,m,
Otterbach up,26/03/2018,shore vegetation height:  Meadow,L,,NA,m,
Otterbach up,26/03/2018,shore vegetation height:  Agriculture,L,,NA,m,
Otterbach up,26/03/2018,shore vegetation cover: Forest,R,,NA,%,
Otterbach up,26/03/2018,shore vegetation cover: Reed,R,,NA,%,
Otterbach up,26/03/2018,shore vegetation cover: Shrubbery,R,,20,%,
Otterbach up,26/03/2018,shore vegetation cover: Tall Forbs,R,,NA,%,
Otterbach up,26/03/2018,shore vegetation cover: Meadow,R,,80,%,
Otterbach up,26/03/2018,shore vegetation cover:  Vegetation Free,R,,NA,%,
Otterbach up,26/03/2018,shore vegetation cover:  Agriculture,R,,NA,%,
Otterbach up,26/03/2018,shore vegetation height: Forest,R,,NA,m,
Otterbach up,26/03/2018,shore vegetation height: Reed,R,,NA,m,
Otterbach up,26/03/2018,shore vegetation height: Shrubbery,R,,0.7,m,
Otterbach up,26/03/2018,shore vegetation height: Tall Forbs,R,,NA,m,
Otterbach up,26/03/2018,shore vegetation height:  Meadow,R,,0.5,m,
Otterbach up,26/03/2018,shore vegetation height:  Agriculture,R,,NA,m,
Otterbach up,26/03/2018,land use: Forest,L,,5,%,
Otterbach up,26/03/2018,land use: Fallow,L,,NA,%,
Otterbach up,26/03/2018,land use: Meadows & Pastures,L,,95,%,
Otterbach up,26/03/2018,land use: Agriculture,L,,NA,%,
Otterbach up,26/03/2018,land use: Housing,L,,NA,%,
Otterbach up,26/03/2018,land use: Other,L,,NA,%,
Otterbach up,26/03/2018,land use: Forest,R,,30,%,
Otterbach up,26/03/2018,land use: Fallow,R,,NA,%,
Otterbach up,26/03/2018,land use: Meadows & Pastures,R,,70,%,
Otterbach up,26/03/2018,land use: Agriculture,R,,NA,%,
Otterbach up,26/03/2018,land use: Housing,R,,NA,%,
Otterbach up,26/03/2018,land use: Other,R,,NA,%,
Otterbach up,26/03/2018,Shading Elements (southwards),,,80,%,
Otterbach up,26/03/2018,Flooding of shore,,,yes,,
Otterbach up,26/03/2018,Islands/Banks,,,one,,oil at right bank
Otterbach down,26/03/2018,distance housing,L,,>1000,m,
Otterbach down,26/03/2018,distance housing,R,,NA,m,
Otterbach down,26/03/2018,distance street,L,,300,m,
Otterbach down,26/03/2018,distance street,R,,NA,m,
Otterbach down,26/03/2018,height landscape-level,L,,1.2,m,
Otterbach down,26/03/2018,height landscape-level,R,,0.8,m,
Otterbach down,26/03/2018,distance landscape-level,L,,1,m,
Otterbach down,26/03/2018,distance landscape-level,R,,2,m,
Otterbach down,26/03/2018,Distance field,L,,8,m,
Otterbach down,26/03/2018,Distance field,R,,10,m,
Otterbach down,26/03/2018,curvature,,,5,,
Otterbach down,26/03/2018,Banks,,,several,,Uferbänke
Otterbach down,26/03/2018,shore vegetation cover: Forest,L,,NA,%,
Otterbach down,26/03/2018,shore vegetation cover: Reed,L,,NA,%,
Otterbach down,26/03/2018,shore vegetation cover: Shrubbery,L,,NA,%,
Otterbach down,26/03/2018,shore vegetation cover: Tall Forbs,L,,NA,%,
Otterbach down,26/03/2018,shore vegetation cover: Meadow,L,,80,%,
Otterbach down,26/03/2018,shore vegetation cover:  Vegetation Free,L,,20,%,
Otterbach down,26/03/2018,shore vegetation cover:  Agriculture,L,,NA,%,
Otterbach down,26/03/2018,shore vegetation height: Forest,L,,NA,m,
Otterbach down,26/03/2018,shore vegetation height: Reed,L,,NA,m,
Otterbach down,26/03/2018,shore vegetation height: Shrubbery,L,,NA,m,
Otterbach down,26/03/2018,shore vegetation height: Tall Forbs,L,,NA,m,
Otterbach down,26/03/2018,shore vegetation height:  Meadow,L,,0.05,m,
Otterbach down,26/03/2018,shore vegetation height:  Agriculture,L,,NA,m,
Otterbach down,26/03/2018,shore vegetation cover: Forest,R,,30,%,
Otterbach down,26/03/2018,shore vegetation cover: Reed,R,,NA,%,
Otterbach down,26/03/2018,shore vegetation cover: Shrubbery,R,,60,%,
Otterbach down,26/03/2018,shore vegetation cover: Tall Forbs,R,,NA,%,
Otterbach down,26/03/2018,shore vegetation cover: Meadow,R,,10,%,
Otterbach down,26/03/2018,shore vegetation cover:  Vegetation Free,R,,NA,%,
Otterbach down,26/03/2018,shore vegetation cover:  Agriculture,R,,NA,%,
Otterbach down,26/03/2018,shore vegetation height: Forest,R,,15,m,
Otterbach down,26/03/2018,shore vegetation height: Reed,R,,NA,m,
Otterbach down,26/03/2018,shore vegetation height: Shrubbery,R,,1,m,
Otterbach down,26/03/2018,shore vegetation height: Tall Forbs,R,,Na,m,
Otterbach down,26/03/2018,shore vegetation height:  Meadow,R,,0.1,m,
Otterbach down,26/03/2018,shore vegetation height:  Agriculture,R,,NA,m,
Otterbach down,26/03/2018,land use: Forest,L,,NA,%,
Otterbach down,26/03/2018,land use: Fallow,L,,NA,%,
Otterbach down,26/03/2018,land use: Meadows & Pastures,L,,15,%,
Otterbach down,26/03/2018,land use: Agriculture,L,,85,%,only plowed
Otterbach down,26/03/2018,land use: Housing,L,,NA,%,
Otterbach down,26/03/2018,land use: Other,L,,NA,%,
Otterbach down,26/03/2018,land use: Forest,R,,NA,%,
Otterbach down,26/03/2018,land use: Fallow,R,,NA,%,
Otterbach down,26/03/2018,land use: Meadows & Pastures,R,,NA,%,
Otterbach down,26/03/2018,land use: Agriculture,R,,80,%,only plowed
Otterbach down,26/03/2018,land use: Housing,R,,NA,%,
Otterbach down,26/03/2018,land use: Other,R,,20,%,shrubbery
Otterbach down,26/03/2018,Shading Elements (southwards),,,70,%,
Otterbach down,26/03/2018,Flooding of shore,,,yes,,
Otterbach down,26/03/2018,Islands/Banks,,,no,,islands
Dierbach up,26/03/2018,distance housing,L,,1500,m,
Dierbach up,26/03/2018,distance housing,R,,NA,m,
Dierbach up,26/03/2018,distance street,L,,NA,m,
Dierbach up,26/03/2018,distance street,R,,300,m,
Dierbach up,26/03/2018,height landscape-level,L,,1.2,m,
Dierbach up,26/03/2018,height landscape-level,R,,1.8,m,
Dierbach up,26/03/2018,distance landscape-level,L,,2,m,
Dierbach up,26/03/2018,distance landscape-level,R,,1,m,
Dierbach up,26/03/2018,Distance field,L,,NA,m,
Dierbach up,26/03/2018,Distance field,R,,NA,m,
Dierbach up,26/03/2018,curvature,,,3,,
Dierbach up,26/03/2018,Banks,,,many,,"Uferbänke, Krümmungsbänke"
Dierbach up,26/03/2018,shore vegetation cover: Forest,L,,100,%,
Dierbach up,26/03/2018,shore vegetation cover: Reed,L,,NA,%,
Dierbach up,26/03/2018,shore vegetation cover: Shrubbery,L,,NA,%,
Dierbach up,26/03/2018,shore vegetation cover: Tall Forbs,L,,NA,%,
Dierbach up,26/03/2018,shore vegetation cover: Meadow,L,,NA,%,
Dierbach up,26/03/2018,shore vegetation cover:  Vegetation Free,L,,NA,%,
Dierbach up,26/03/2018,shore vegetation cover:  Agriculture,L,,NA,%,
Dierbach up,26/03/2018,shore vegetation height: Forest,L,,25,m,
Dierbach up,26/03/2018,shore vegetation height: Reed,L,,NA,m,
Dierbach up,26/03/2018,shore vegetation height: Shrubbery,L,,NA,m,
Dierbach up,26/03/2018,shore vegetation height: Tall Forbs,L,,NA,m,
Dierbach up,26/03/2018,shore vegetation height:  Meadow,L,,NA,m,
Dierbach up,26/03/2018,shore vegetation height:  Agriculture,L,,NA,m,
Dierbach up,26/03/2018,shore vegetation cover: Forest,R,,100,%,
Dierbach up,26/03/2018,shore vegetation cover: Reed,R,,NA,%,
Dierbach up,26/03/2018,shore vegetation cover: Shrubbery,R,,NA,%,
Dierbach up,26/03/2018,shore vegetation cover: Tall Forbs,R,,NA,%,
Dierbach up,26/03/2018,shore vegetation cover: Meadow,R,,NA,%,
Dierbach up,26/03/2018,shore vegetation cover:  Vegetation Free,R,,NA,%,
Dierbach up,26/03/2018,shore vegetation cover:  Agriculture,R,,NA,%,
Dierbach up,26/03/2018,shore vegetation height: Forest,R,,20,m,
Dierbach up,26/03/2018,shore vegetation height: Reed,R,,20,m,
Dierbach up,26/03/2018,shore vegetation height: Shrubbery,R,,20,m,
Dierbach up,26/03/2018,shore vegetation height: Tall Forbs,R,,20,m,
Dierbach up,26/03/2018,shore vegetation height:  Meadow,R,,20,m,
Dierbach up,26/03/2018,shore vegetation height:  Agriculture,R,,20,m,
Dierbach up,26/03/2018,land use: Forest,L,,100,%,
Dierbach up,26/03/2018,land use: Fallow,L,,NA,%,
Dierbach up,26/03/2018,land use: Meadows & Pastures,L,,NA,%,
Dierbach up,26/03/2018,land use: Agriculture,L,,NA,%,
Dierbach up,26/03/2018,land use: Housing,L,,NA,%,
Dierbach up,26/03/2018,land use: Other,L,,NA,%,
